"Question","Category"
"Is there warranty for the purchased items?","Inquiry"
"I'm not happy with the packaging","Complaint"
"Can I change the ordered product quantity?","Request"
"How can I update my E-Mail ID and phone number ?","Inquiry"
"I really like your product range ","Feedback"
"When will my order arrive?","Inquiry"
"Please send me a copy of the invoice","Request"
"Is there warranty for the purchased items ?","Inquiry"
"I'm not happy with the packaging","Complaint"
"Can I change the ordered product quantity ?","Request"
"I'd like to return the item purchased","Request"
"This is very bad customer support service","Complaint"
"Really glad for your support","Feedback"
